Publication,Year,Month,Last_Name,Paper_Title,Process,Node,f@NFmin,NFmin,fc,NF,Gain,P1dB,I/O_P1dB,IIP3,3dB_BW,Power,Comment
ASSCC,2022,11,Xu,An n79 Sub-1-dB Noise Figure Highly Linear Variable_x0002_Gain LNA Employing Adaptive Imbalanced Bleeding for 5G NR,CMOS,65,4.4,0.74,,,,,,,,,
JSSC,2021,7,Peng,A Cryogenic Broadband Sub-1-dB NF CMOS Low Noise Amplifier for Quantum Applications,CMOS,40,4,0.75,,,,,,,,,
RFIC,2022,6,Zou,A Capacitor Assisting Triple-Winding Transformer Low-Noise Amplifier with 0.8-1.5dB NF 6-12GHz BW 0.75dB Ripple in 130nm SOI CMOS,CMOS SOI,130,8.5,0.8,,,,,,,,,
EuMA,2023,9,Ozdol,A High Linearity 6 GHz LNA in 130 nm SiGe Technology,SiGe BiCMOS,130,6,1.15,,,,,,,,,
IMS,2018,6,Li,LNA Design with CMOS SOI Process—1.4dB NF K/Ka band LNA,CMOS SOI,45,27,1.4,,,,,,,,,
TMTT,2022,4,Huynh,Dual-Resistive Feedback Wideband LNA for Noise Cancellation and Robust Linearization,CMOS,65,1,1.56,,,,,,,,,
ISSCC,2022,2,Yang,A Hybrid Coupler-First 5GHz Noise-Cancelling Dual-Mode Receiver with +10dBm In-Band IIP3 in Current-Mode and 1.7dB NF in Voltage-Mode,CMOS,28,5,1.7,,,,,,,,,
TMTT,2023,1,Zhao,A K-Band Hybrid-Packaged Temperature-Compensated Phased-Array Receiver and Integrated Antenna Array,CMOS,65,16,1.7,,,,,,,,,System
JSSC,2020,5,Cui,"A 1.7-dB Minimum NF, 22–32-GHz Low-Noise Feedback Amplifier With Multistage Noise Matching in 22-nm FD-SOI CMOS",CMOS SOI,22,28,1.73,,,,,,,,,
RFIC,2022,6,Huang,28 GHz Compact LNAs with 1.9 dB NF Using Folded Three-Coil Transformer and Dual-Feedforward Techniques in 65nm CMOS,CMOS,65,29.1,1.9,,,,,,,,,
TMTT,2022,3,Zhou,A 0.1–3.5-GHz Inductorless Noise-Canceling CMOS LNA With IIP3 Optimization Technique,CMOS,65,0.1,2,,,,,,,,,
RFIC,2022,6,Radpour,"An LNAwith Input Power Match from 6.1 to 38.6 GHz, the Noise-Figure Minimum of 1.9 dB, and Employing Back Gate for Matching",CMOS SOI,22,17,2,,,,,,,,,
JSSC,2021,Early Access,Wang,A Ka-Band SATCOM Transceiver in 65-nm CMOS With High-Linearity TX and Dual-Channel Wide-Dynamic-Range RX for Terrestrial Terminal,CMOS,65,20,2,,,,,,,,,
EuMiC,2021,1,Ozkan,A High-Gain SiGe BiCMOS LNA for 5G In-Band Full-Duplex Applications,SiGe BiCMOS,130,25,2,,,,,,,,,
RFIC,2022,6,Radpour,"An LNAwith Input Power Match from 6.1 to 38.6 GHz, the Noise-Figure Minimum of 1.9 dB, and Employing Back Gate for Matching",CMOS SOI,22,26,2,,,,,,,,,
TMTT,2020,10,El-Aassar,Design of Low-Power Sub-2.4 dB Mean NF 5G LNAs Using Forward Body Bias in 22 nm FDSOI,CMOS SOI,22,25,2.08,,,,,,,,,
MWTL,2023,4,Cai,A Sub-GHz Low-Power Receiver Employing Resistive-Feedback-Tuned LNA With 2.1-dB NF and 106-dB Gain Tuning Range,CMOS,130,0.433,2.1,,,,,,,,,
TCAS II,2023,4,Kobal,"A Compact, Low-Power, Low-NF, Millimeter-Wave Cascode LNA With Magnetic Coupling Feedback in 22-nm FD-SOI CMOS for 5G Applications",CMOS SOI,22,27.5,2.1,,,,,,,,,
JSSC,2020,5,Huang,A 24.5–43.5-GHz Ultra-Compact CMOS Receiver Front End With Calibration-Free Instantaneous Full-Band Image Rejection for Multiband 5G Massive MIMO,CMOS SOI,45,38,2.1,,,,,,,,,Simulated
ICEEICT,2022,6,Shukala,90-nm Dual-Band CMOS LNA with Gain Enhancement for Wireless LAN Applications,CMOS,90,2.4,2.13,,,,,,,,,
TMTT,2020,10,El-Aassar,Design of Low-Power Sub-2.4 dB Mean NF 5G LNAs Using Forward Body Bias in 22 nm FDSOI,CMOS SOI,22,26,2.2,,,,,,,,,
TMTT,2020,10,El-Aassar,Design of Low-Power Sub-2.4 dB Mean NF 5G LNAs Using Forward Body Bias in 22 nm FDSOI,CMOS SOI,22,25,2.25,,,,,,,,,
IMS,2020,8,Choi,A CMOS Band-Pass Low Noise Amplifier with Excellent Gain Flatness for mm-Wave 5G Communications,CMOS,65,26,2.27,,,,,,,,,
IMS,2021,6,Zhang,A CMOS LNA with Transformer-Based Integrated Notch Filter for Ku-Band Satellite Communications,CMOS,65,11,2.3,,,,,,,,,
EuMC,2022,9,Fumagalli,20 GHz LNA and 29 GHz PA on SiGe BiCMOS  technology for SatCom phased array systems,SiGe BICMOS,130,20,2.3,,,,,,,,,
TCAS I,2023,3,Li,24–35 GHz Filtering LNA and Filtering Switch Using Compact Mixed Magnetic-Electric Coupling Circuit in 28-nm Bulk CMOS,CMOS,31,25,2.4,,,,,,,,,
MWCL,2021,6,Hu,A 27–46-GHz Low-Noise Amplifier With Dual-Resonant Input Matching and a Transformer-Based Broadband Output Network,CMOS SOI,45,27.7,2.4,,,,,,,,,
TCAS,2023,4,Hu,A Systematic Approach to Designing Broadband Millimeter-Wave Cascode Common-Source With Inductive Degeneration Low Noise Amplifiers,CMOS SOI,45,27.7,2.4,,,,,,,,,
MWCL,2022,2,Meng,A K-Band Ultra-Compact Gm-Boost LNA Using One Multi-Coupled Transformer in 65-nm CMOS,CMOS,65,30,2.4,,,,,,,,,
TCSI,2022,1,Bozorg,A 20 MHz–2 GHz Inductorless Two-Fold Noise-Canceling Low-Noise Amplifier in 28-nm CMOS,CMOS,28,0.6,2.5,,,,,,,,,
APMC,2022,11,Seguchi,1.40/2.42/4.21-GHz Triple-Band Concurrent LNA  Using Inductor Coupling,CMOS,180,1.4,2.5,,,,,,,,,
